,,,,,,,,,,,,,,,
,Title ,Authors,Year,Event,Event's Qualis,Type of Publication,Field of application,Acess,Database,Link,Exclusion Criteria,Q1,Q2,Q3,QA
,Data quality assessment,"Leo L. Pipino, Yang W. Lee, Richard Y. Wang",2002,"Communications of the ACM, Volume 45, Issue 4",,Article,"data quality, data quality assessment",Open Acess,ICM Digital Library,https://dl.acm.org/doi/10.1145/505248.506010,0,,,,0
,Improving Network Health Monitoring Accuracy Based on Data Fusion for Software Defined Networking,"Song, S",2014,"Network Health Monitoring, OpenFlow, Software Defined Networking, Data Fusion",,Article,,,,"https://proceedings.mlsys.org/paper_files/paper/2019/file/928f1160e52192e3e0017fb63ab65391-Paper.pdf#page=1&zoom=auto,-13,799",0,1,1,1,3
,Privacy Preserving Data Quality Assessment for High-Fidelity Data Sharing,"Julien Freudiger, Shantanu Rane, Alejandro E. Brito, Ersin Uzun",2014,WISCS '14: Proceedings of the 2014 ACM Workshop on Information Sharing & Collaborative Security,,Article,"data quality assessment, cryptographic, privacy",Closed Acess,ICM Digital Library,https://dl.acm.org/doi/10.1145/2663876.2663885,0,0,0,0,0
,A Big Data Framework for Electric Power Data Quality Assessment,He Liu; Fupeng Huang; Han Li; Weiwei Liu; Tongxun Wang,2017,2017 14th Web Information Systems and Applications Conference (WISA),A4,Paper,"data quality, big data, electrical data",Open Acess,IEEE Xplore,https://ieeexplore.ieee.org/document/8332632,0,0,0,1,1
,User-Driven Filtering and Ranking of Topical Datasets Based on Overall Data Quality,Wenze Xia;Zhuoming Xu;Chengwang Mao,2017,2017 14th Web Information Systems and Applications Conference (WISA),,Paper,data quality,Open Acess,IEEE Xplore,https://ieeexplore.ieee.org/document/8332626/,0,0,0,0,0
,A method of electronic health data quality assessment: Enabling data provenance,Yuling Sun;Tun Lu;Ning Gu,2017,2017 IEEE 21st International Conference on Computer Supported Cooperative Work in Design (CSCWD),A3,Paper,"data quality, data quality assessment, health data",Open Acess,IEEE Xplore,https://ieeexplore.ieee.org/document/8066700/,0,0,0,0,0
,Deep Hash-based Relevance-aware Data Quality Assessment for Image Dark Data,"Yu Liu, Yangtao Wang, Lianli Gao, Chan Guo, Yanzhao Xie, Zhili Xiao",2021,"ACM/IMS Transactions on Data Science, Volume 2, Issue 2",,Article,"data quality assessment, data mining",Open Acess,ICM Digital Library,https://dl.acm.org/doi/10.1145/3420038,0,0,0,1,1
,Research on the Big Data-based Product Quality Data Package Construction and Application,Bingquan Chen; Guojian Nie; Shixin Jiang; Ning Hu,2022,"2022 4th International Conference on Advances in Computer Technology, Information Science and Communications (CTISC)",,Paper,"data quality, quality analyses, metric proposal",Open acess,IEEE Xplore,https://ieeexplore.ieee.org/document/9849793,0,,,,0
,A Data Quality Assessment and Control Method in Multiple Products Manufacturing Process,Dongting Xu;Zhisheng Zhang;Jinfei Shi,2022,2022 5th International Conference on Data Science and Information Technology (DSIT),,Paper,"data quality, manufacturing",Open Acess,IEEE Xplore,https://ieeexplore.ieee.org/document/9943883,0,0,0,0,0
,Process-Data Quality: The True Frontier of Process Mining,"Arthur H. M. Ter Hofstede, Agnes Koschmider, Andrea Marrella, Robert Andrews, Dominik A. Fischer, Sareh Sadeghianasl, Moe Thandar Wynn, Marco Comuzzi, Jochen De Weerdt, Kanika Goel, Niels Martin, Pnina Soffer ",2023,"ACM Journal of Data and Information Quality, Volume 15, Issue 3",,Article,"Event data quality, process mining, event log",Open acess,ACM Digital Library,https://dl.acm.org/doi/10.1145/3613247,0,,,,0
,A Method to Classify Data Quality for Decision Making Under Uncertainty,"Vanessa Simard, Mikael Rönnqvist, Luc Lebel, Nadia Lehoux",2023,"ACM Journal of Data and Information Quality, Volume 15, Issue 2",,Article,"Data Quality, uncertainty, decision-making prcess, forst industry",Closed acess,ACM Digital Library,https://dl.acm.org/doi/10.1145/3592534,0,0,0,0,0
,BIGQA: Declarative Big Data Quality Assessment,"Hadi Fadlallah, Rima Kilany, Houssein Dhayne, Rami El Haddad, Rafiqul Haque, Yehia Taher, Ali Jaber",2023,"ACM Journal of Data and Information Quality, Volume 15, Issue 3",,Article,"data quality, quality assessment, big data",Closed Acess,ICM Digital Library,https://dl.acm.org/doi/10.1145/3603706,0,0,1,0,1
,Data Quality-based Gradient Optimization for Recurrent Neural Networks,"Feihu Huang, Peiyu Yi, Shan Li, Haiwen Xu",2024,WWW '24: Companion Proceedings of the ACM Web Conference 2024,A1,Paper,"Data Quality, Gradient Optimization, recurrent neural network, time series",Open acess,ACM Digital Library,https://dl.acm.org/doi/10.1145/3589335.3651918,0,1,0,0,1
,"Machine learning and modeling: Data, validation, communication challenges","Issam El Naqa, Dan Ruan, Gilmer Valdes, Andre Dekker, Todd McNutt, Yaorong Ge, Q. Jackie Wu, Jung Hun Oh, Maria Thor, Wade Smith, Arvind Rao, Clifton Fuller, Ying Xiao, Frank Manion, Matthew Schipper, Charles Mayo, Jean M. Moran, Randall Ten Haken",24 August 2018,"Medical Physics, Volume 45, Issue 10",,Article,"Big Data, Machine learning, Radiation Oncology",,,,0,0,0,0,0
,Embodied Machine Learning,"Alexander Bakogeorge, Syeda Aniqa Imtiaz, Nour Abu Hantash, Roozbeh Manshaei, Ali Mazalek",11 February 2024,"TEI '24: Proceedings of the Eighteenth International Conference on Tangible, Embedded, and Embodied Interaction",A2,Paper,"Embodied interaction, Collaboration, Machine Learning, Medical Data, Tabletop Interaction, Trust",Closed acess,ACM Digital library,https://dl.acm.org/doi/10.1145/3623509.3633370,0,0,0,0,0
,Fairness in Machine Learning: A Survey,"Simon Caton, Christian Haas",09 April 2024,"ACM Computing Surveys, Volume 56, Issue 7",,Article,"Fairness, Accountability, Transparency, Machine Learning",Open acess,ACM Digital library,https://dl.acm.org/doi/10.1145/3616865,0,0,0,0,0
,The Idealized Machine Learning Pipeline (IMLP) for Advancing Reproducibility in Machine Learning,"Yantong Zheng, Victoria Stodden",11 July 2024,ACM REP '24: Proceedings of the 2nd ACM Conference on Reproducibility and Replicability,,Paper,"Computational Reproducibility, CyberInfrastructure, Human Factors, Machine Learning, Open Code, Open Data, Reproducibility Policy",Closed acess,ACM Digital library,https://dl.acm.org/doi/10.1145/3641525.3663630,0,0,0,0,0
,Machine Learning VLSI CAD Experiments Should Consider Atomic Data Groups," Andrew David Gunter, Steven Wilton",09 September 2024,MLCAD '24: Proceedings of the 2024 ACM/IEEE International Symposium on Machine Learning for CAD,,Article,"CAD, FPGA, VLSI, Information leakage, Machine Learning, Routing, Supervised Learning",Closed acess,ACM Digital library,https://dl.acm.org/doi/10.1145/3670474.3685970,0,0,0,0,0
,Overview of Multimodal Machine Learning,"Aya Al-Zoghby, Esraa Al-Awadly, Ahmed Ismail Ebada, Wael Abd El kader Awad",17 October 2024,ACM Transactions on Asian and Low-Resource Language Information Processing,,Article,"Multimodal Machine Learning(MML), Natural Language Processing(NLP), Deep Learning(DL), Fusion Techniques, Cross-Modal",Open acess,ACM Digital library,https://dl.acm.org/doi/10.1145/3701031,0,0,0,0,0
,Machine learning model for IoT-Edge device based Water Quality Monitoring,Yogendra Kumar; Siba K Udgata,02-05 May 2022 ,IEEE INFOCOM 2022 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),,Paper,"Edge Intelligence, Water Quality Sensors, Water Quality Index, Alarm Evenst, Machine Learning, Event Clustering",Closed acess,IEEE Xplore,https://xploreqa.ieee.org/document/9798212,0,0,0,0,0
,Big data machine learning using apache spark MLlib,Mehdi Assefi; Ehsun Behravesh; Guangchi Liu; Ahmad P. Tafti,11-14 December 2017,2017 IEEE International Conference on Big Data (Big Data),,Experiment,"Big Data Machine Learning, Machine Learning, Apache Spark MLlib, Big Data Analytics",Closed acess,IEEE Xplore,https://xploreqa.ieee.org/document/8258338,0,0,0,0,0
,Data quality control and quality assurance practices for Ocean Networks Canada observatories,Dilumie Abeysirigunawardena; Marlene Jeffries; Michael G. Morley; Alice O.V. Bui; Maia Hoeberechts,2015,OCEANS 2015 - MTS/IEEE Washington,B1,paper,"data quality, distributed networks",Open acess,IEEE Xplore,https://ieeexplore.ieee.org/document/7404600,0,0,0,0,0
,Cloud Native Architecture Of Network Quality Characteristic Analysis System In Wired and Wireless Convergence Network,Hyun-Soon Nam; Jin-Kyu Choi; Jong-Kook Lee; Hea-Sook Park,2023, 2023 Fourteenth International Conference on Ubiquitous and Future Networks (ICUFN),,paper,"network performance, aritificial intelligence",Open acess,IEEE Xplore,https://ieeexplore.ieee.org/document/10199426,0,0,0,0,0
,Mass Data Quality Improvement System for Distribution Network,Han Zhang; Jiaju She; Chao Liu; Shengkui Ma,2024,"2024 Asia-Pacific Conference on Software Engineering, Social Network Analysis and Intelligent Computing (SSAIC)",,paper,"data quality, distributed networkds",Open acess,IEEE Xplore,https://ieeexplore.ieee.org/document/10597300,0,,,,0
,An Application of Distributed Data Mining to Identify Data Quality Problems,"Eshref Januzaj, Visar Januzaj, Peter Mandl",2020,iiWAS2019: Proceedings of the 21st International Conference on Information Integration and Web-based Applications & Services,B1,short-paper,"Data mining, Data Quality, Distributed Clustering",Closed Acess,ACM Digital Library,https://dl.acm.org/doi/10.1145/3366030.3366103,0,1,1,1,3
,Data quality issues for vibration sensors: a case study in ferrosilicon production,"Maryna Waszak, Terje Moen, Sølve Eidnes, Alexander Stasik, Anders Hansen, Gregory Bouquet, Antoine Pultier, Xiang Ma, Idar Tørlen, Bjørn Henriksen, Arianeh Aamodt, Dumitru Roman",2022,SEA4DQ 2022: Proceedings of the 2nd International Workshop on Software Engineering and AI for Data Quality in Cyber-Physical Systems/Internet of Things,,short-paper,"data quality, ferrosilicon production, vibration sensors",Open acess, ,https://dl.acm.org/doi/10.1145/3549037.3561273,0,0,0,0,0
,JetTrain: IDE-Native Machine Learning Experiments,"Artem Trofimov, Mikhail Kostyukov, Sergei Ugdyzhekov, Natalia Ponomareva, Igor Naumov, Maksim Melekhovets",07 August 2024,IDE '24: Proceedings of the 1st ACM/IEEE Workshop on Integrated Development Environments,A1,Short-paper,"Integrated development environment, Machine Learning, MLOps",Closed acess,ACM Digital library,https://dl.acm.org/doi/10.1145/3643796.3648455,0,0,0,0,0
,Data Validation for Machine Learning,"Neoklis Polyzotis, Martin Zinkevich, Sudip Roy, Eric Breck, Steven Whang",2019,Proceedings of Machine Learning and Systems 1 (MLSys 2019) ,,Study,-,,Manually included,"https://proceedings.mlsys.org/paper_files/paper/2019/file/928f1160e52192e3e0017fb63ab65391-Paper.pdf#page=1&zoom=auto,-13,799",0,0,0,0,0
,Big Data Quality: A Survey,Ikbal Taleb; Mohamed Adel Serhani; Rachida Dssouli,2018, 2018 IEEE International Congress on Big Data (BigData Congress),,survey,"data quality, big data",Open acess,IEEE Xplore,https://ieeexplore.ieee.org/document/8457745,0,,,,0
,Active Learning for Data Quality Control: A Survey,"Na Li, Yiyang Qi, Chaoran Li, Zhiming Zhao",24 June 2024,"ACM Journal of Data and Information Quality, Volume 16, Issue 2",,Survey,"Data Quality Control, Active Learning, Query strategy, Anomaly detection, Machine Learning",Closed acess,ACM Digital library,https://dl.acm.org/doi/10.1145/3663369,0,1,1,1,3
,Creativity and Machine Learning: A Survey,"Giorgio Franceschelli, Mirco Musolesi",28 June 2024,"ACM Computing Surveys, Volume 56, Issue 11",,Survey,"Computational Creativity, Machine Learning, Generative Deep Learning, Creativity evaluation methods",Open acess,ACM Digital library,https://dl.acm.org/doi/10.1145/3664595,0,0,0,0,0
,Distributed Machine Learning,Bapi Chatterjee,22 January 2024,ICDCN '24: Proceedings of the 25th International Conference on Distributed Computing and Networking,A3,"Tutorial, Research, Refereed limited","Distributed Machine Learning, Federated Learning, Machine Learning",Open acess,ACM Digital library,https://dl.acm.org/doi/10.1145/3631461.3632516,0,1,0,0,1
,2nd International Workshop on Data Quality Assessment for Machine Learning,"Hima Patel, Fuyuki Ishikawa, Laure Berti-Equille, Nitin Gupta, Sameep Mehta, Satoshi Masuda, Shashank Mujumdar, Shazia Afzal, Srikanta Bedathur, Yasuharu Nishi ",14 August 2021,KDD '21: Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery & Data Mining,A1,"Tutorial, Workshop, Abstract","Data assessment, Data Quality, Machine Learning",Closed acess,ACM Digital library,https://dl.acm.org/doi/10.1145/3447548.3469468,0,1,0,1,2
,"Spatial Data Quality in the Internet of Things: Management, Exploitation, and Prospects","Huan Li, Hua Lu, Christian S. Jensen, Bo Tang, Muhammad Aamir Cheema",2022,"ACM Computing Surveys (CSUR), Volume 55, Issue 3",,survey,"internet of things, quality management, spatial computing",Closed Acess,ACM Digital Library,https://dl.acm.org/doi/10.1145/3514221.3522568,0,0,0,0,0
,The Challenges of Data Quality and Data Quality Assessment in the Big Data Era,Li Cai; Yangyong Zhu ,2015,"Data Science Journal Vol, 14 (2015)",,Article,"data quality, data quality assessment, big data, ",Open Acess,"Google Scholar, Data Science JournalH",https://account.datascience.codata.org/index.php/up-j-dsj/article/view/dsj-2015-002,1,0,1,1,2
,Data Quality Assessment for Electrical Equipment Condition Monitoring,Rong Ji;Huijuan Hou;Gehao Sheng;Xiuchen Jiang,2022,2022 9th International Conference on Condition Monitoring and Diagnosis (CMD),,Paper,"data quality, data quality assessment, electrical data",Open Acess,IEEE Xplore,https://ieeexplore.ieee.org/document/9991385/,1,0,0,1,1
,DaQual: Data Quality Assessment for Tree Trunk Relative Water Content Sensors in a Pomegranate Orchard,,2023,SenSys '22: Proceedings of the 20th ACM Conference on Embedded Networked Sensor Systems,A2,Paper,"data quality, quality assessment, smart agriculture",Open Acess,ICM Digital Library,https://dl.acm.org/doi/10.1145/3560905.3568415,1,0,0,0,0
,A Catalog of Consumer IoT Device Characteristics for Data Quality Estimation,"Authors: Valentina Golendukhina, Harald Foidl, Daniel Hörl, Michael Felderer",2024,ACM Journal of Data and Information Quality,,Article,"IoT, CloT, data quality, wearable devices",Open acess,ACM Digital Library,https://dl.acm.org/doi/10.1145/3639708,1,0,0,0,0
,An approach to monitoring quality in manufacturing using supervised machine learning on product state data,"Thorsten Wuest, Christopher Irgens & Klaus-Dieter Thoben ",24 March 2013, Journal of Intelligent Manufacturing ,,Article,"Cluster analysis, Supervised Machine learning, ",Open acess,Springer/ Google Scholar,https://link.springer.com/article/10.1007/s10845-013-0761-y,1,1,0,0,1
